Path is: working/FVO_microscopy_interpolated_PCHIP.csv
i	j	length	error
6	62	57	55.1112
6	63	58	56.0826
6	64	59	57.2021
6	65	60	59.0044
6	66	61	61.4320
6	67	62	64.2467
6	68	63	67.4338
6	69	64	71.1131
7	41	35	71.7395
7	42	36	66.2451
7	43	37	60.3858
7	44	38	54.0982
7	45	39	47.3203
7	46	40	39.7136
7	47	41	31.3898
7	48	42	23.6484
7	49	43	19.3564
7	50	44	21.7323
7	51	45	28.2226
7	52	46	35.0991
7	53	47	40.2456
7	54	48	42.2520
7	55	49	42.1362
7	56	50	42.1200
7	57	51	43.1835
7	58	52	45.3063
7	59	53	47.7010
7	60	54	49.8850
7	61	55	51.8772
7	62	56	53.7083
7	63	57	55.1112
7	64	58	56.0826
7	65	59	57.2021
7	66	60	59.0044
7	67	61	61.4320
7	68	62	64.2467
7	69	63	67.4338
8	42	35	71.7395
8	43	36	66.2451
8	44	37	60.3858
8	45	38	54.0982
8	46	39	47.3203
8	47	40	39.7136
8	48	41	31.3898
8	49	42	23.6484
8	50	43	19.3564
8	51	44	21.7323
8	52	45	28.2226
8	53	46	35.0991
8	54	47	40.2456
8	55	48	42.2520
8	56	49	42.1362
8	57	50	42.1200
8	58	51	43.1835
8	59	52	45.3063
8	60	53	47.7010
8	61	54	49.8850
8	62	55	51.8772
8	63	56	53.7083
8	64	57	55.1112
8	65	58	56.0826
8	66	59	57.2021
8	67	60	59.0044
8	68	61	61.4320
8	69	62	64.2467
9	43	35	71.7395
9	44	36	66.2451
9	45	37	60.3858
9	46	38	54.0982
9	47	39	47.3203
9	48	40	39.7136
9	49	41	31.3898
9	50	42	23.6484
9	51	43	19.3564
9	52	44	21.7323
9	53	45	28.2226
9	54	46	35.0991
9	55	47	40.2456
9	56	48	42.2520
9	57	49	42.1362
9	58	50	42.1200
9	59	51	43.1835
9	60	52	45.3063
9	61	53	47.7010
9	62	54	49.8850
9	63	55	51.8772
9	64	56	53.7083
9	65	57	55.1112
9	66	58	56.0826
9	67	59	57.2021
9	68	60	59.0044
9	69	61	61.4320
10	44	35	71.7395
10	45	36	66.2451
10	46	37	60.3858
10	47	38	54.0982
10	48	39	47.3203
10	49	40	39.7136
10	50	41	31.3898
10	51	42	23.6484
10	52	43	19.3564
10	53	44	21.7323
