Path is: working/SA250_microscopy_interpolated_PCHIP.csv
i	j	length	error
4	63	60	67.8100
5	36	32	115.8804
5	37	33	113.8402
5	38	34	111.4473
5	39	35	108.7055
5	40	36	105.5376
5	41	37	101.8498
5	42	38	98.7039
5	43	39	96.8908
5	44	40	95.7287
5	45	41	94.5001
5	46	42	92.7706
5	47	43	90.3516
5	48	44	87.5363
5	49	45	84.5133
5	50	46	81.1491
5	51	47	77.2334
5	52	48	72.4910
5	53	49	66.5628
5	54	50	59.2947
5	55	51	51.2471
5	56	52	43.7633
5	57	53	38.4296
5	58	54	36.3987
5	59	55	38.0793
5	60	56	42.7716
5	61	57	49.0034
5	62	58	56.1691
5	63	59	63.1384
6	37	32	115.8804
6	38	33	113.8402
6	39	34	111.4473
6	40	35	108.7055
6	41	36	105.5376
6	42	37	101.8498
6	43	38	98.7039
6	44	39	96.8908
6	45	40	95.7287
6	46	41	94.5001
6	47	42	92.7706
6	48	43	90.3516
6	49	44	87.5363
6	50	45	84.5133
6	51	46	81.1491
6	52	47	77.2334
6	53	48	72.4910
6	54	49	66.5628
6	55	50	59.2947
6	56	51	51.2471
6	57	52	43.7633
6	58	53	38.4296
6	59	54	36.3987
6	60	55	38.0793
6	61	56	42.7716
6	62	57	49.0034
6	63	58	56.1691
7	38	32	115.8804
7	39	33	113.8402
7	40	34	111.4473
7	41	35	108.7055
7	42	36	105.5376
7	43	37	101.8498
7	44	38	98.7039
7	45	39	96.8908
7	46	40	95.7287
7	47	41	94.5001
7	48	42	92.7706
7	49	43	90.3516
7	50	44	87.5363
7	51	45	84.5133
7	52	46	81.1491
7	53	47	77.2334
7	54	48	72.4910
7	55	49	66.5628
7	56	50	59.2947
7	57	51	51.2471
7	58	52	43.7633
7	59	53	38.4296
7	60	54	36.3987
7	61	55	38.0793
7	62	56	42.7716
7	63	57	49.0034
8	39	32	115.8804
8	40	33	113.8402
8	41	34	111.4473
8	42	35	108.7055
8	43	36	105.5376
8	44	37	101.8498
8	45	38	98.7039
8	46	39	96.8908
8	47	40	95.7287
8	48	41	94.5001
8	49	42	92.7706
8	50	43	90.3516
8	51	44	87.5363
8	52	45	84.5133
8	53	46	81.1491
8	54	47	77.2334
8	55	48	72.4910
8	56	49	66.5628
8	57	50	59.2947
8	58	51	51.2471
8	59	52	43.7633
8	60	53	38.4296
8	61	54	36.3987
8	62	55	38.0793
8	63	56	42.7716
9	40	32	115.8804
9	41	33	113.8402
9	42	34	111.4473
9	43	35	108.7055
9	44	36	105.5376
9	45	37	101.8498
9	46	38	98.7039
9	47	39	96.8908
9	48	40	95.7287
9	49	41	94.5001
9	50	42	92.7706
9	51	43	90.3516
9	52	44	87.5363
9	53	45	84.5133
9	54	46	81.1491
9	55	47	77.2334
9	56	48	72.4910
9	57	49	66.5628
9	58	50	59.2947
9	59	51	51.2471
9	60	52	43.7633
9	61	53	38.4296
9	62	54	36.3987
9	63	55	38.0793
10	41	32	115.8804
10	42	33	113.8402
10	43	34	111.4473
10	44	35	108.7055
10	45	36	105.5376
10	46	37	101.8498
10	47	38	98.7039
10	48	39	96.8908
10	49	40	95.7287
10	50	41	94.5001
10	51	42	92.7706
10	52	43	90.3516
10	53	44	87.5363
10	54	45	84.5133
10	55	46	81.1491
10	56	47	77.2334
10	57	48	72.4910
10	58	49	66.5628
10	59	50	59.2947
10	60	51	51.2471
10	61	52	43.7633
10	62	53	38.4296
10	63	54	36.3987
11	42	32	115.8804
11	43	33	113.8402
11	44	34	111.4473
11	45	35	108.7055
11	46	36	105.5376
11	47	37	101.8498
11	48	38	98.7039
11	49	39	96.8908
11	50	40	95.7287
11	51	41	94.5001
11	52	42	92.7706
11	53	43	90.3516
11	54	44	87.5363
11	55	45	84.5133
11	56	46	81.1491
11	57	47	77.2334
11	58	48	72.4910
11	59	49	66.5628
11	60	50	59.2947
11	61	51	51.2471
11	62	52	43.7633
11	63	53	38.4296
12	43	32	115.8804
12	44	33	113.8402
12	45	34	111.4473
12	46	35	108.7055
12	47	36	105.5376
12	48	37	101.8498
12	49	38	98.7039
12	50	39	96.8908
12	51	40	95.7287
12	52	41	94.5001
12	53	42	92.7706
12	54	43	90.3516
12	55	44	87.5363
12	56	45	84.5133
12	57	46	81.1491
12	58	47	77.2334
12	59	48	72.4910
12	60	49	66.5628
12	61	50	59.2947
