gene,expr,timepoint
PF3D7_1440200,1.235449,12
PF3D7_1440200,3.864320,48
PF3D7_1440200,1.632543,57
PF3D7_1440200,1.909396,63
PF3D7_1439400,2.181720,15
PF3D7_1439400,1.501793,24
PF3D7_1439400,49.185900,48
PF3D7_1439400,1.624285,66
PF3D7_0220800,1.378521,18
PF3D7_0220800,1.289856,27
PF3D7_0220800,271.022000,48
PF3D7_1103400,1.400217,12
PF3D7_1103400,1.443514,18
PF3D7_1103400,6.507670,48
PF3D7_1103400,1.439833,66
PF3D7_0930100,1.685530,18
PF3D7_0930100,20.359200,42
PF3D7_0930100,11.475800,48
PF3D7_0930100,1.908892,63
PF3D7_1339900,1.093685,9
PF3D7_1339900,1.000000,15
PF3D7_1339900,5.447360,48
PF3D7_1339900,1.184936,66
PF3D7_1423300,1.375698,27
PF3D7_1423300,1.406809,33
PF3D7_0106000,1.563434,27
PF3D7_0106000,68.932900,48
PF3D7_0106000,1.965039,66
PF3D7_0618000,1.297824,24
PF3D7_0618000,1.210299,30
PF3D7_1443700,2.298130,12
PF3D7_1443700,1.000000,24
PF3D7_1140400,1.850338,15
PF3D7_1140400,1.481437,24
PF3D7_1140400,2.812920,33
PF3D7_1140400,414.778000,48
PF3D7_1035200,1.382168,18
PF3D7_1035200,1.000000,27
PF3D7_1232500,1.125172,27
PF3D7_1232500,1.219441,33
PF3D7_0411300,1.064961,15
PF3D7_0411300,1.186064,21
PF3D7_0411300,6.757490,33
PF3D7_0411300,2.055630,48
PF3D7_0411300,1.079663,60
PF3D7_1372500,1.114147,9
PF3D7_1372500,1.436406,48
PF3D7_1372500,1.306098,54
PF3D7_1372500,1.815100,60
PF3D7_1460500,1.221390,18
PF3D7_1460500,9.558770,48
PF3D7_1460500,1.304183,66
PF3D7_0815000,1.072791,12
PF3D7_0815000,1.061232,60
PF3D7_0111400,1.065360,15
PF3D7_0111400,1.080152,60
PF3D7_0817600,1.359457,18
PF3D7_0817600,1.215340,24
PF3D7_0817600,1.256594,30
PF3D7_0817600,177.378000,48
PF3D7_1434400,1.279445,21
PF3D7_1434400,1.000000,30
PF3D7_1434400,1.436585,66
PF3D7_1225100,1.050775,12
PF3D7_1225100,1.075962,18
PF3D7_1225100,1.801815,48
PF3D7_1225100,1.152804,63
PF3D7_1356800,1.169627,24
PF3D7_1356800,1.202123,30
PF3D7_1014100,1.374431,18
PF3D7_1014100,1.075454,27
PF3D7_1014100,203.013000,51
PF3D7_0613300,1.084745,30
PF3D7_1229800,1.168206,18
PF3D7_1229800,1.123382,27
PF3D7_1229800,1.076342,33
PF3D7_1025400,1.164804,15
PF3D7_1025400,1.018662,24
PF3D7_1025400,30.915300,48
PF3D7_0817100,1.195400,3
PF3D7_0817100,1.054199,12
PF3D7_0817100,1.117710,54
PF3D7_0817100,1.091184,60
PF3D7_0817100,1.152503,66
PF3D7_0318500,1.199177,15
PF3D7_0318500,1.093156,24
PF3D7_0318500,1.054528,30
