gene,expr,timepoint
PF3D7_1323700,6.810130,21
PF3D7_1323700,2.636130,54
PF3D7_0317300,41.935300,21
PF3D7_0317300,40.278500,57
PF3D7_0317300,32.505800,63
PF3D7_1139300,10.350460,36
PF3D7_0805700,2.997700,12
PF3D7_0805700,1.616061,48
PF3D7_0105800,2.003310,12
PF3D7_0105800,1.435009,51
PF3D7_1028700,4.479000,15
PF3D7_1028700,3.850630,51
PF3D7_1439400,3.664520,12
PF3D7_1439400,3.415240,45
PF3D7_1338700,3.983850,9
PF3D7_1338700,130.389000,30
PF3D7_1338700,2.689500,45
PF3D7_1133200,2.024650,12
PF3D7_1133200,1.485345,48
PF3D7_1422100,7.922610,12
PF3D7_1422100,6.470500,48
PF3D7_1238600,1.859196,15
PF3D7_1238600,1.549576,51
PF3D7_0218000,2.373580,9
PF3D7_0218000,1.632438,45
PF3D7_0729600,3.663900,9
PF3D7_0729600,2.416750,45
PF3D7_1432700,2.341920,9
PF3D7_1432700,1.577740,45
PF3D7_0719500,2.192390,9
PF3D7_0719500,1.963309,48
PF3D7_0720500,1.976996,6
PF3D7_0720500,1.901606,45
PF3D7_0720500,30.710400,57
PF3D7_1320100,1.601859,9
PF3D7_1320100,1.120922,45
PF3D7_1422500,1.929884,15
PF3D7_1422500,1.057780,51
PF3D7_0715900,2.200670,9
PF3D7_0715900,1.587618,45
PF3D7_0412000,2.376380,9
PF3D7_0412000,1.935962,45
PF3D7_1107100,1.866533,12
PF3D7_1107100,1.442178,51
PF3D7_1004900,1.626917,12
PF3D7_1004900,1.540029,45
PF3D7_1110700,2.112540,15
PF3D7_1110700,1.250258,48
PF3D7_1476200,5.482900,3
PF3D7_1476200,3.417470,30
PF3D7_1476200,3.739260,36
PF3D7_0932600,2.421370,9
PF3D7_0932600,1.755932,45
PF3D7_1346900,1.490759,9
PF3D7_1346900,1.447631,15
PF3D7_1346900,1.422905,48
PF3D7_0812220,2.643280,6
PF3D7_0812220,2.797460,12
PF3D7_0812220,2.556190,42
PF3D7_0925300,1.676285,9
PF3D7_0925300,1.295382,45
PF3D7_0915000,2.114100,12
PF3D7_0915000,1.584161,45
PF3D7_0915000,1.439428,51
PF3D7_1117500,2.238500,6
PF3D7_1117500,2.051190,42
PF3D7_1028200,2.199230,12
PF3D7_1028200,1.375936,48
PF3D7_1029900,1.788613,15
PF3D7_1029900,1.518286,51
PF3D7_0405900,1.744518,15
PF3D7_0405900,3.029110,21
PF3D7_0405900,1.501169,51
PF3D7_1412700,3.469290,36
PF3D7_1104300,2.191590,9
PF3D7_1104300,1.746390,45
PF3D7_1031800,1.736391,15
PF3D7_1031800,1.000000,48
PF3D7_1144700,1.548707,9
PF3D7_1144700,1.078745,45
PF3D7_1130700,1.536667,6
PF3D7_1130700,1.554406,12
PF3D7_1130700,1.155487,45
PF3D7_1130700,17.147800,63
PF3D7_1422600,1.419651,9
PF3D7_1422600,1.406832,48
PF3D7_1005900,1.556389,12
PF3D7_1005900,1.399397,45
PF3D7_1440300,1.944520,3
PF3D7_1440300,1.899804,9
PF3D7_1440300,1.348966,42
PF3D7_1343500,1.910270,6
PF3D7_1343500,1.658251,12
PF3D7_1343500,1.162132,48
PF3D7_1430200,1.529658,15
PF3D7_1430200,1.365679,51
PF3D7_0214900,1.709185,15
PF3D7_0214900,1.173946,51
PF3D7_1308000,1.410354,15
PF3D7_1308000,1.092036,54
PF3D7_1469200,2.245590,15
PF3D7_1469200,2.558920,45
PF3D7_1469200,1.879508,51
PF3D7_1473700,2.168860,30
PF3D7_1473700,2.839360,60
PF3D7_1473700,2.280220,66
PF3D7_1350700,2.754020,3
PF3D7_1350700,2.424190,42
