,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
PF3D7_1100200,3.420415,4.424125801014999,5.92383345606,6.6956999999999995,6.902685528559999,7.652783279294999,9.139705,15.897006107115,27.622269910999997,37.255250000000004,74.7544980098,85.9865323383,90.7559,89.5079814815,87.19041851850001,85.9425,96.82656937819999,117.64497209,130.64700000000002,132.736660914,133.893696629,135.981,143.958479953,159.65191447200002,180.22299999999998,224.086471043,282.43273552200003,311.587,278.11044374700003,213.325665272,170.7,160.034488724,153.160753134,146.592,140.185860319,134.051849292,125.081,101.319653271,66.43936703039999,40.769,27.602803774899996,17.5760438948,12.0291,9.63736095745,8.03173259628,6.985869999999999,6.330103483659999,5.861188980210001,5.30242,4.280729608090001,3.11237591516,2.55464,2.7197049397299997,3.1587365461299997
PF3D7_0712300,1.8955305,2.222921293225,2.6904541848749997,2.96331,3.0472197304250006,3.279647759605,3.8233749999999995,6.684087432325001,11.471087320105,14.75258,25.5986009575,27.1056363308,28.7607,30.6674488566,32.7645027506,35.6141,41.9703287732,50.549236413100004,55.856,57.159211254,57.9461221167,59.0499,60.7603247041,63.298726832,67.3956,94.60897328600001,139.784697754,163.585,140.860711453,97.1843117952,69.3005,63.5787728438,60.07456893609999,56.0615,50.4407785697,44.0983443899,37.2849,28.990300632199997,20.1048225856,13.7298,10.0938236913,7.34081414376,5.4451,4.00620063953,2.87985031977,2.4247,2.62067925926,2.98464074074,3.1806200000000002,2.74619585185,1.93940814815,1.504984,1.5688416345700003,1.7344037135900003
PF3D7_0712000,2.191129,2.4435509452649997,2.7293047357000004,2.9445750000000004,3.1104638369949997,3.35880153346,3.7518650000000004,5.7984865045100005,9.429165572255,12.33868,22.593138723499997,25.813336028400002,27.1832,26.6217481481,25.5790518519,25.0176,27.959124419899997,33.8175821731,38.1438,39.701633558800005,40.7825959327,42.229,44.303671041,47.23623372189999,51.8192,73.8976690647,108.95809008799999,127.255,110.201754309,77.0374197285,54.7551,48.62176281399999,44.59647744310001,40.7105,36.4314825739,32.279868331100005,27.8661,22.5456124901,16.9099457353,12.4237,9.16706242657,6.483050500269999,4.73051,3.6241194692,2.79216417905,2.4639,2.68908481481,3.10728518519,3.33247,2.8975161851899998,2.08974481481,1.654791,1.79986318125,2.1243906958400003
PF3D7_0733000,1.7737414999999999,1.935611615705,2.129272918965,2.223081,2.20378444479,2.2239654451299997,2.4007300000000003,3.527616775595,5.5245457744349995,7.198195,12.165039345799999,14.6877282381,15.8607,15.9078996375,15.930067516500001,15.9776,18.3273630483,22.8009614921,25.7659,26.4565163033,26.874170320300003,27.5369,29.067759943600002,31.6527220021,35.1542,43.532162478000004,54.9909867946,60.7597,53.5435645789,39.741962491100004,31.1251,29.6316693996,28.755254758000003,27.5984,25.641380031700002,23.0913779577,20.1413,16.1182000397,11.4403648519,7.93755,5.78245511003,4.0919687730900005,3.11213,2.63409508493,2.300212606,2.13331,2.0813419208,2.0513206353499998,2.00466,1.8482662111800001,1.62889355003,1.517728,1.58380860652,1.74542232414
PF3D7_0800200,1.455547,1.5113567408050002,1.5567662102949997,1.5770875000000002,1.6324395425299998,1.77449665373,1.9759039999999999,2.6058568648150002,3.6375604945599997,4.449675,7.040783785510001,7.958004409380001,8.356489999999999,8.36255635153,8.365344402969999,8.37143,9.40138879225,11.4031678167,12.7744,13.1386112892,13.3664871974,13.7264,14.786253267000001,16.4166251951,17.8399,18.9837352512,19.9969787367,20.4338,19.8021587446,18.390161933599998,16.9222,15.574871296400001,14.1629299375,12.868,11.8224884971,10.8670877951,9.74585,8.088653451819999,6.1614406634000005,4.66236,3.68849418819,2.90743180693,2.37308,1.9958491141499999,1.7041878762,1.579061,1.5697158331799999,1.5651845268200002,1.556109,1.4465000011700002,1.25809633392,1.158132,1.2534496339299999,1.45184482342
PF3D7_1241600,19.6879,17.9921324592,14.931703720549999,12.582,11.25270680315,9.981550810399998,8.93598,8.054245072055,7.295399406165,6.8580950000000005,4.828761011459999,4.73735927832,4.58735,4.030578750269999,3.1921839346099996,2.6539599999999997,2.49018053896,2.37965241908,2.31097,2.27375202534,2.24871723876,2.2111099999999997,2.09436451336,1.93217992335,1.850198,1.92731076215,2.10263285764,2.2921400000000003,2.52033329051,2.7675010897,2.8833,2.82875703704,2.7274629629600002,2.67292,3.12669393206,4.18051008634,5.37311,6.56160698809,7.97240243902,9.69817,12.156012193599999,15.2358978328,18.2398,21.4985969446,24.687259583400003,26.1239,26.1096499406,26.0675554367,25.9986,24.155222340999998,20.8177722816,19.0291,19.924581481500002,21.587618518499998
PF3D7_1301200,12.39835,12.710849723350002,13.60440485845,15.569360000000001,22.61176538625,35.00325076596,47.632529999999996,61.23730220935,77.1243916754,91.0362,81.188563342,197.64935345700002,351.594,578.191107669,924.227114465,1380.72,2343.94016124,3623.99322152,4332.65,4413.93825133,4455.84722892,4536.09,5232.69993641,6395.12274598,7008.19,6935.91895688,6743.16346931,6466.01,5703.9888665,4462.79460363,3387.76,2663.1625144,2039.7787028999999,1512.69,1025.41273843,598.2779238009999,341.589,226.672907735,147.294702422,97.415,63.1433827167,37.5926180975,25.2281,21.8866767143,19.833429129000002,18.1761,16.597893963,15.2559028031,13.9687,12.4118626083,10.9037479708,10.2271,10.3469220186,10.680521815
PF3D7_1215300,181.798,170.846477218,152.0597522105,132.9905,112.92173764500001,91.37468026964999,76.2593,65.97085765885001,56.4253493234,51.81385,40.9204259259,41.5548740741,41.8965,37.5872937158,29.556598542800003,25.1498,25.027053309,24.9524544323,24.9273,26.0183822133,28.8140644267,32.598,39.2605127063,49.6380164971,61.4333,75.387084829,91.5642899458,106.654,118.138545421,128.747985904,143.043,165.82106148100002,198.457771572,240.38099999999997,303.04069901599996,388.959435252,484.17400000000004,588.8277191340001,706.628054199,828.9580000000001,983.6784812310001,1143.49779617,1217.07,1110.70973765,889.272364198,699.2230000000001,588.243733863,495.199347356,403.329,286.253655731,170.311161199,117.816,133.51,162.656
PF3D7_1240300,2.4428400000000003,2.7725993621050002,3.1781334785900004,3.426705,3.476766334345,3.5508813748800003,3.8124800000000003,5.77444751195,9.29699699488,12.06455,19.3134459669,22.350931556,24.0642,24.5474425385,24.826035555500003,25.3218,27.7139401276,31.837442161,35.3478,37.2899791276,38.8836580053,41.0464,44.4305354061,49.31256325060001,56.0463,73.11245778840001,96.6588622275,108.54,93.5121131439,64.8930262878,47.3796,44.7402862928,43.218667572799994,41.2243,37.8246348171,33.452851820300005,28.5671,22.2904804812,15.2700586749,10.24993,7.410692577080001,5.25357313378,4.00361,3.35130145475,2.88906771111,2.69483,2.67311680394,2.66235868646,2.64133,2.4366317317900004,2.0912998103400002,1.9087610000000002,2.03701444077,2.34325210376
PF3D7_0400400,1.8307745,2.18184691227,2.66798886054,2.951973,2.9489094649700003,2.965931183195,3.253845,4.8157312249699995,7.378981573565001,9.28087,15.058986405599999,16.5571966557,17.697,18.4148427603,18.9636035374,19.8169,22.5983074715,26.7979125908,29.6891,30.6382918783,31.2567014667,32.1849,34.078417808299996,37.0656800051,40.9966,49.4656422358,60.6338711179,66.2011,59.81129707,47.416405251,39.1782,37.1592909716,35.896473153,34.2628,31.596160667,28.1773988907,24.294,19.1369786092,13.268683221500002,9.0336,6.64673635535,4.83131610015,3.69415,2.97796906633,2.44666064427,2.23877,2.29687259259,2.40477740741,2.4628799999999997,2.20082385185,1.71414814815,1.452092,1.53224716606,1.7365907765700002
PF3D7_1037100,14.09505,14.185268998049999,14.476465838,14.37405,13.182331225399999,11.25834401758,9.586585,8.425478330565,7.41072569312,6.59274,4.98650333753,4.12380673634,3.6548,3.5496410871699995,3.48877897617,3.4049199999999997,3.19619468248,2.9319595634599995,2.80176,2.99998707362,3.4811785916900004,4.0751,4.849676630719999,5.8862833712,7.034860000000001,8.39114907972,9.905352715560001,11.2091,12.086421368900002,12.8311235336,13.8395,15.536840573800001,17.9312179572,20.7931,24.7061247965,29.4922449335,33.7794,36.9111608461,39.6910645405,42.937,48.3889582138,54.583795773599995,57.5347,54.5104704712,48.633418720200005,44.696999999999996,43.7887976054,43.2498955134,42.254,34.3560010354,21.1382843811,13.8158,13.276740034000001,12.9424922392
