,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
PF3D7_0727500,3.6531105000000004,3.1134489170450004,2.428696347415,2.0910650000000004,2.282584768915,2.7804445378300002,3.469595,5.04585931015,7.453448482594999,9.449895,10.587655539230001,11.520226511249998,12.6567,14.494297581000001,16.71252486755,18.4939,19.5599801322,20.42887908515,21.47795,23.830105209350002,26.9409773457,28.687,29.691235106700002,29.5905813246,29.4295,28.183895910900002,25.540652697600002,22.5717,19.0019116072,14.9293438098,11.9857,10.357450095399999,9.125958425439999,8.26527,7.69464050834,7.265189994369999,6.84876,6.44420494788,6.05163604281
PF3D7_0724600,8.776905,7.961964951834999,7.022850963430001,6.31351,5.840467922545001,5.437107264565,5.19766,5.17935952515,5.325234545765,5.558210000000001,5.879926561705,6.336238245344999,6.91639,7.98037104332,9.540994237865,11.06674,12.322070831200001,13.575725761400001,15.052600000000002,17.20068182975,19.76971990665,21.93725,22.847420543200002,25.1455059307,27.6883,31.43652801,35.5186695606,37.4349,35.689738979699996,31.8940446261,28.2075,25.408910999,22.7084389373,19.9128,16.5953382177,13.1723477553,10.71497,9.32987709337,8.290769257360001
PF3D7_1477000,70.09764999999999,97.06309689345001,140.3501246865,177.4025,205.4477650135,229.857604729,240.29199999999997,220.60237167999998,177.49918780399997,134.93099999999998,96.65426055555,58.734525039000005,33.584,20.236751088600002,10.3995872553,5.493830000000001,3.847840984635,2.773198724595,2.1660500000000003,1.8070639546450002,1.544626262725,1.3764585,1.35413095695,1.28227636736,1.2546680000000001,1.26584388158,1.2925782076,1.324681,1.3591469454799998,1.40463798015,1.468465,1.56527401291,1.7298032628599997,1.9995020000000001,3.6991448042400004,7.22696501018,11.2306,14.81108681,19.1547815029
PF3D7_1325800,3.153975,3.522839286865,4.045084255315,4.7797350000000005,6.248777448549999,8.696518565315,11.765464999999999,16.77471412405,23.23540348575,28.0781,30.7423263909,32.7911711848,34.34055,35.50183917195,35.83768321150001,34.6409,30.4123702977,23.98840117975,18.16495,13.4266802788,9.1163059528,6.31686,5.807109452660001,4.75304039298,3.9374300000000004,3.1316239259500005,2.4500369629799996,2.16281,2.17606966127,2.21044710032,2.2578400000000003,2.35621087623,2.50941295849,2.6581799999999998,2.77737844665,2.89256304517,3.0205,3.1581130749799997,3.31327823809
PF3D7_1136500,777.1970000000001,653.9507586049999,535.593598847,467.524,443.457316213,424.10329373700006,405.352,377.4099970315,343.2610431025,317.961,302.0170606755,288.7297660795,282.345,282.8897258075,286.34825643199997,290.90250000000003,298.1570762965,309.46393965,322.626,340.3097530115,362.32042013700004,382.169,419.54534293800003,443.861860244,478.783,548.281447104,657.22549398,786.823,964.4977440260001,1180.6739178,1361.06,1501.46167028,1621.75187658,1683.74,1701.30194475,1712.85263904,1717.01,1542.46173984,1180.69747969
PF3D7_1427900,73.62684999999999,78.00322488009999,85.53110803675,93.5451,104.298604907,119.153145451,134.1055,147.6608127405,162.54622258799998,181.0915,206.6339711315,239.79235247550002,278.8185,340.5850834245,421.59456733549996,489.5435,535.4283670975,573.9938965515,608.559,648.1483248889999,688.5855202285,713.3879999999999,762.2428850680001,771.610942534,775.085,741.3893055,664.528722111,580.8430000000001,487.849635381,385.46740948300004,313.638,278.645844872,253.44687333,227.99,196.34513712700002,164.435287152,139.989,122.54283005,108.43689727700001
PF3D7_1201200,1754.84,1505.906978085,1062.113557535,730.856,571.549183903,439.675060349,336.7305,252.624143663,181.147890787,129.6235,93.67432998774999,65.34862010915,46.605450000000005,34.785187772200004,25.98216355295,20.2864,16.80950930565,14.278813500599998,12.207899999999999,10.209476976694999,8.478420537755,7.4015699999999995,5.949898664759999,5.59727599905,5.46588,7.93122713503,14.6627787145,24.6638,57.8247479004,115.704066095,169.80700000000002,202.66990313099998,232.54803499599998,284.525,712.1811101610001,1449.70883163,1893.11,1975.87229794,2030.0444822999998
PF3D7_0705500,431.5735,383.3971557155,297.8129989805,238.7615,216.7476931,197.76711733400003,178.99599999999998,156.402270789,131.5557831465,110.03565,92.576995712,77.2513202616,65.6423,55.59422382974999,46.5954924704,42.695949999999996,43.855625646700005,46.71594573785,50.34885,56.7041120023,65.81164538920001,73.86359999999999,76.4758365997,91.3951496751,111.462,147.738278177,199.732441326,251.081,306.05670812799997,360.413131842,385.00800000000004,377.757814815,364.293185185,357.043,363.349477691,378.538399826,397.014,427.66285943300005,465.45926305
PF3D7_0320000,20.669145,15.592621701335,9.283717795115,6.191965,6.255692510575001,6.4362855767000005,6.71786,8.805969362605,13.406446256905,19.003825,26.4944896063,36.89425458605,48.8668,64.1380400508,82.2460496677,98.57275,111.69850914284999,123.69142201400001,135.165,146.1522190595,156.692161893,167.4075,187.534595268,228.59907541200002,248.958,233.821460007,200.668031126,167.882,137.367896554,107.206506464,90.0465,85.543493815,82.8837040036,79.0117,69.55386165729999,56.5136375068,46.4012,41.256178839,37.3539710342
PF3D7_1355100,25.249585,17.89540197902,9.773711588734999,5.81753,5.62136846029,5.497065896815,5.45363,7.15671228175,11.333043452405,16.58325,23.98273893095,34.359992484900005,45.94525,59.354462596450006,74.84711567615,90.11875,104.37603566409999,118.54306230649999,132.8915,148.2407224185,163.799256008,177.4225,195.344052182,216.135086073,228.59099999999998,233.53273483799998,236.97803408599998,238.27200000000002,215.616051684,172.29121447900002,145.262,140.880357207,138.426647243,134.25799999999998,118.075420995,92.12471260209999,71.5802,61.072864520500005,52.9484443614
PF3D7_1417800,20.533275,14.768264837054998,8.036841795775,4.65348,4.3982513858650005,4.20834152627,4.133895,5.024259182365,7.262644475854999,10.19999,14.717040056925,21.52258877204,29.70965,41.6141180913,57.45639366979999,73.15625,87.56945074455001,102.00688184845,116.071,129.917968392,143.61586084700002,156.635,183.179410231,211.78026067099998,225.118,223.43879634099997,218.914703793,212.31599999999997,191.132011863,156.698190526,130.554,118.78600305200001,110.11333084799999,100.0243,84.3805624026,66.5730501167,53.38399999999999,46.5660648465,41.519334190500004
