,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
PF3D7_0213700,17.5235,13.842057932700001,9.726055412675,7.378205,6.62062166363,5.992096219945001,5.7703549999999995,7.709413204595,12.1168082966,17.10055,22.34302136665,28.505925010800002,35.16625,42.4020952668,50.3241302996,58.5582,67.6714691925,77.9289926063,88.50345,101.07364246555,117.19085650650001,135.8365,175.1000763165,228.57221206949998,258.486,305.21340740700003,300.398592593,297.806,313.956037037,343.94896296300004,360.099,332.247906054,274.00636766400004,223.342,191.06446393099998,163.339757136,141.17,125.13470474100001,112.06297093299999,97.3313,75.3311471268,50.9891980457,35.4848,29.756100602800004,25.9474946145
PF3D7_1354500,28.090899999999998,22.5962723617,15.86083594595,12.30115,12.211972612250001,12.698248087949999,13.391815,15.869300624249998,20.22517703435,23.86805,25.96301557335,27.771454591149997,29.846400000000003,32.485854032549994,35.68493500745,39.54235,45.55570968875,52.97706869305,58.5368,61.67475721305,64.27189767899999,66.72025,70.1864446119,74.84069403545,79.5804,94.9864034484,104.03106643299999,114.814,132.944276685,154.173749453,164.387,161.726735142,154.98624806200002,146.026,127.497866586,101.45307193100001,83.8511,77.65127441140001,73.4896927662,68.84100000000001,62.5592757261,55.62384035109999,48.6972,41.842917774,34.9973960796
PF3D7_0810800,8.360199999999999,6.60791207065,4.72587591353,3.57855,3.10854018091,2.75090267379,2.6087715,2.62486164519,2.69186923483,2.8379,3.5433951439249993,4.91226077898,6.4078,7.9576384111300005,9.683847680740001,11.3414,12.683303474150001,13.972597232000002,15.729299999999999,18.8154033676,23.62484216945,29.97555,41.3233159416,57.19950174345,71.53540000000001,98.7570779134,135.988883401,154.19799999999998,150.190844815,140.517245186,128.69899999999998,111.000070815,88.54447607540001,72.1441,64.15807689430001,58.289590679899995,52.3666,45.4299066449,38.437339977600004,32.0924,26.3445601415,21.0815602599,16.9143,13.8941042565,11.4322844469
PF3D7_1332400,8.903830000000001,7.926349336725,6.90898800169,6.439299999999999,6.550859038575,6.850421410479999,7.285315000000001,8.97490498316,11.6915237487,13.36195,13.671245828450001,13.8544041712,14.1631,15.161770858850002,16.81083756485,18.45595,19.8581824161,21.2655024364,22.7539,25.201609160349996,28.463851888649998,31.0821,32.878338351500005,34.457615764349995,35.536,36.9174781035,37.4387557184,37.6469,36.7983897401,34.9298794803,33.0569,31.3780662405,29.6947239235,28.4265,27.705243290100004,27.1604459646,26.4582,25.3518983006,23.911045240300002,22.2759,20.2947511333,18.0166055576,15.8828,14.0186903049,12.2722961474
PF3D7_0806000,6.1188199999999995,5.10471784106,3.782584372945,2.90883,2.52869067456,2.2390708095050003,2.1238835,2.31257099046,2.7340821475899997,3.17159,3.63286421971,4.1488214108,4.537355,4.899608846955001,5.414504073574999,6.0166,6.912517251935,8.03304047074,8.898975,9.67379778559,10.6227325941,11.419205000000002,12.234948738449999,13.2232026572,14.02965,15.9749858797,17.8773286627,19.2931,20.1542301473,20.832465073599998,21.1075,19.6366598032,16.7460196064,14.7184,13.9532159559,13.3985224325,13.1601,13.132068350199999,13.118365609400001,13.0895,12.199154665,10.4194877542,8.94872,8.20449507072,7.61389987376
PF3D7_1469200,91.14265,123.26322320455,174.41559087299999,201.85250000000002,173.54337384800002,117.908439571,82.87665,71.85656801995,58.761659112000004,47.27823,35.524740135615,22.718683808159998,14.19492,10.006270839675,6.898016937825,5.243705,4.64827972421,4.306088039984999,3.97478,3.3330099205000003,2.532917085635,2.042379,1.89017904911,1.786039348995,1.7192455,1.43715296296,1.48042803704,1.50373,1.49245974074,1.47152925926,1.460259,1.55371503794,1.7922579647599999,2.11315,2.67517703421,3.5357347377699995,4.48,5.365407219,6.36620910156,7.74281,9.83397269054,13.1096208096,18.0269,33.1965451717,58.3808503832
PF3D7_0613900,64.80915,112.89756775730001,191.977656101,233.558,199.713973394,134.1492690105,90.81495000000001,76.07832760765,61.6886642867,49.66995,37.34456012385,24.12352899123,15.163834999999999,10.57590528743,7.198936211235001,5.283060000000001,4.399448421375,3.8093618666349998,3.2980655,2.752826814165,2.261505162455,1.9102535,1.66602138653,1.46274617269,1.3370625,1.2205159769,1.24941906492,1.281159,1.3163789825399999,1.3556330069100002,1.385343,1.3996255677200002,1.4099359445100001,1.4287040000000002,1.55431021772,1.80981097895,2.09465,2.3433513108099997,2.6358996951400004,3.08993,4.15502817561,6.25531554179,9.47023,20.6353058596,41.1097479605
PF3D7_1104900,91.6626,122.19022767665001,169.23493606,193.62199999999999,165.98683881149998,112.005222067,75.06295,61.3194934536,48.7646900079,38.529889999999995,28.80166330747,19.009515399370002,12.1492,8.000675175575001,4.828560509125,3.355602,3.0796141418199996,2.921010015185,2.7364335,2.39301555667,1.98172722411,1.6949725,1.53727732066,1.401901421765,1.3143495,1.17319804657,1.16482291217,1.16185,1.2188598171,1.34396830087,1.468294,1.56233658911,1.65561418507,1.767773,1.9205837542,2.10723284499,2.30449,2.47049844949,2.6491861681,2.946,3.9792931928199993,6.272982494580001,9.79086,23.936454829699997,49.401745900200005
PF3D7_1037300,59.845200000000006,53.45150539315,46.585430474350005,43.3786,51.39677610865,70.37154110615,92.68325,118.60145581625,150.7936288475,185.23700000000002,223.68771571899998,265.9690666495,305.159,337.94634527799997,368.3563303585,400.4715,450.09131695499997,509.3501715715,546.833,570.2731102370001,604.5933577735,644.163,743.355742685,894.6430906809999,999.5409999999999,1138.92039453,1179.33464171,1194.8,1029.94207167,713.67992112,513.481,473.932933961,449.72052738,423.457,387.156239335,348.335710581,312.86400000000003,283.578318072,256.83826241599996,228.796,196.16487226900003,162.03639574299999,132.13,105.92014846299999,82.5453272529
PF3D7_1130600,3.863455,3.398956698175,2.7566752935350003,2.432405,2.4608933131899997,2.54100829304,2.664725,3.633326863075,5.420762554595,6.778005,7.41969646317,8.001997839125,8.68816,9.581890240035001,10.681856361800001,11.99375,13.76437286805,15.95178155305,18.12855,20.59441836395,23.095760299299997,24.3751,24.247787898299997,23.7680113645,23.53655,24.876062963000003,28.128037037,29.8791,28.9262008298,26.8911016596,25.0092,23.7963643984,22.698731286300003,21.3471,19.294119228099998,16.7566477415,14.3618,12.2295993807,10.2160194608,8.5521,7.18996222722,6.028448439780001,5.21868,4.74509445952,4.396756904709999
