gene,expr,timepoint
PF3D7_1010700,194.064000,15
PF3D7_1010700,335.823000,30
PF3D7_1010700,252.019000,39
PF3D7_1010700,71.710400,6
PF3D7_0400200,8.153450,60
PF3D7_0400200,4.987110,51
PF3D7_0400200,5.387480,45
PF3D7_0400200,7.337130,3
PF3D7_0320000,56.462900,57
PF3D7_0320000,17.416800,21
PF3D7_1426900,16.820300,24
PF3D7_1426900,52.641200,36
PF3D7_1426900,21.641300,18
PF3D7_1426900,165.771000,57
PF3D7_0201600,4.972340,57
PF3D7_0201600,4.046050,6
PF3D7_0201600,7.151940,51
PF3D7_1118200,24.831700,9
PF3D7_1118200,26.692100,51
PF3D7_1474900,18.072800,24
PF3D7_1474900,74.731100,60
PF3D7_1474900,20.659600,30
PF3D7_1474900,69.259300,51
PF3D7_0906100,8.986910,24
PF3D7_0906100,8.879220,33
PF3D7_0906100,67.617200,60
PF3D7_1219300,2.473900,51
PF3D7_1219300,2.954500,3
PF3D7_1219300,3.893860,60
PF3D7_1219300,2.409490,45
PF3D7_1451300,8.287340,21
PF3D7_1451300,9.406950,15
PF3D7_1451300,59.214400,51
PF3D7_1451300,30.866300,57
PF3D7_1123700,8.070320,33
PF3D7_1123700,36.534200,51
PF3D7_1123700,3.990170,24
PF3D7_1123700,4.835810,18
PF3D7_1417900,24.835300,57
PF3D7_1417900,9.402180,33
PF3D7_1417900,10.476040,12
PF3D7_1417900,6.497860,24
PF3D7_0934400,9.375480,33
PF3D7_0934400,33.126100,57
PF3D7_0934400,6.705510,21
PF3D7_0934400,79.903900,51
PF3D7_0304500,2.965690,24
PF3D7_0304500,19.130400,51
PF3D7_0304500,4.004580,15
PF3D7_0304500,63.460900,45
PF3D7_1474000,9.356910,42
PF3D7_1474000,7.551610,33
PF3D7_1318100,11.287500,57
PF3D7_1318100,3.299930,24
PF3D7_1318100,6.410850,30
PF3D7_1137400,16.045500,51
PF3D7_1137400,4.332290,21
PF3D7_1137400,34.713800,45
PF3D7_1137400,4.493510,15
PF3D7_1137400,12.209300,60
PF3D7_0412400,1.480137,45
PF3D7_0412400,1.599118,60
PF3D7_0412400,1.369455,51
PF3D7_1132900,1.392061,12
PF3D7_1132900,3.655050,57
PF3D7_1132900,4.087540,51
PF3D7_1132900,13.290700,42
PF3D7_1137500,1.673957,18
PF3D7_1137500,2.390700,24
PF3D7_1137500,4.153440,33
PF3D7_1137500,22.955700,60
