time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63	66	69
PF3D7_0105100	20.389	3.9394	2.16711	2.76084	1.54354	1.279635	1	1	1	1	1.503071	6.11011	40.4876	50.3073	45.5548	20.9265	8.40524	11.136	2.88876	1.919326	1.685844	1.29741	1	1
PF3D7_0105200	14.9851	11.7124	2.06336	1.160431	1.123805	1.212314	1.889051	4.16221	5.3755	15.255	39.4632	60.1809	52.2934	36.3916	18.429	12.0195	6.82691	11.4096	4.01149	1.921362	1.867882	1.790332	2.41456	5.78772
PF3D7_0105300	580.872	338.134	44.4272	7.76329	2.30482	1.223763	1.260276	1.640909	1	1.660865	1.201278	3.18085	34.0423	75.8924	190.695	446.987	268.731	336.957	88.282	18.8025	7.76865	3.73684	1.890053	2.091
PF3D7_0105400	315.508	296.583	33.4081	6.13256	3.69968	1.32181	1.374293	1.614518	1	1.573165	1.523701	2.37231	5.79775	8.90953	55.1234	209.394	183.521	225.696	95.6693	17.5737	4.22701	2.96395	1.160007	1.532249
PF3D7_0105500	6.32434	3.15248	1.640994	1.580247	2.04482	1.383948	1.53592	1.513202	1.608666	1.604778	7.42382	13.1149	20.3325	16.9849	14.8974	7.04365	3.4957	3.85666	1.842832	1.403925	1.753349	1.61253	1.343624	1.702009
PF3D7_0105600	7.53452	4.99479	7.86912	29.8095	37.7086	38.2376	41.9183	43.4874	39.73	29.5491	22.4373	23.1117	21.2396	17.4676	11.7962	8.23641	5.9804	11.1912	18.9943	27.5278	36.4948	42.9906	40.8092	37.1663
PF3D7_0105700	13.8028	5.95186	1.874405	2.05538	2.27688	2.35645	2.47866	2.09165	1.707668	1.608264	2.38623	7.7875	15.3093	16.682	14.923	14.0822	5.41107	9.25102	3.28449	2.22343	1.888328	1.898834	1.68856	1.627604
PF3D7_0105800	141.364	62.4875	9.47336	2.5761	1.594627	1.222485	1.129395	1.212417	1.0314912	1.273788	3.00129	12.7568	44.2214	57.0303	69.2732	103.016	57.2735	66.63	17.6007	4.62064	2.40966	1.665514	1.35952	1.338992
PF3D7_0105900	26.9701	12.3467	1.815616	1.492213	1.108527	1.335002	1.259778	1.053307	1.189669	1.109933	2.15513	7.97216	19.6972	19.7329	18.5021	24.0405	11.8205	16.1786	4.67693	1.917793	1.228233	1.0296913	1.0832829	1.102086
PF3D7_0106000	159.372	91.2399	9.93165	3.75774	2.71704	2.44324	2.04198	1.760238	1.732594	1.563434	2.67873	5.12286	18.2881	31.8557	50.387	113.398	68.9329	70.5458	24.236	5.99023	3.40053	2.60115	1.965039	2.33458
PF3D7_0106100	80.735	77.6553	27.1287	47.4571	50.001	54.3809	61.7604	69.1893	82.2546	87.0846	118.227	111.384	85.5189	85.9549	70.8904	73.2385	48.3207	57.8902	48.1722	46.8987	60.2708	69.766	67.6381	81.2062
PF3D7_0106200	45.4154	19.6271	3.99839	5.16183	4.07207	3.58624	4.50964	1.960247	1.325391	1.282899	1.129242	1.0875215	4.71004	12.3772	32.2289	36.9112	16.3926	20.8727	6.09497	5.15679	5.11129	1.993286	1.428634	1.43784
PF3D7_0106300	242.527	160.049	333.75	316.582	228.775	196.571	205.548	186.846	184.811	111.231	86.3053	109.972	117.036	153.844	196.012	186.92	178.552	185.54	174.088	195.562	220.187	206.614	194.422	155.208
PF3D7_0106400	18.9399	16.8999	171.455	251.251	227.545	214.755	192.407	188.208	223.032	219.9	285.224	271.307	114.512	53.056	21.2677	18.781	65.3971	90.304	143.563	180.964	185.127	239.646	238.736	238.554
PF3D7_0106500	11.1989	3.55152	1.991079	1.418672	1.49233	1.585729	1.552412	1.166256	1.0717024	1.140263	1.0996785	1.501437	5.93077	9.86515	12.2819	12.1628	4.50621	5.6056	1.948962	1.603715	1.918896	1.202041	1.141679	1.144722
PF3D7_0106600	3.64862	1.321228	1	1.115459	1.7128	1.641748	2.06638	1.962825	1.934302	1.451274	1.41233	1.33507	1.887727	1.29936	1.31755	2.07257	1.772485	2.92389	1.61923	1.964485	1.52466	1.195012	1.364666	2.28512
