time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63	66	69
PF3D7_0102900	23.241	71.8358	110.1	136.413	153.118	175.215	176.806	158.311	118.717	72.4946	40.2681	21.5826	29.9205	68.4551	123.266	156.594	149.022	153.532	150.988	137.756	119.078	95.2678	53.1717	30.4961
PF3D7_0103000	8.26384	3.62305	1.910185	1.940641	1.587669	1.772179	5.19765	9.48518	15.9223	21.3459	33.5318	33.1024	6.74262	4.03666	1.436105	1.157491	1.607939	1.533116	4.29057	10.36008	15.7557	23.8643	31.7161	41.4975
PF3D7_0103100	3.80209	2.1575	1.446273	1.288254	1.345768	1.462743	3.60356	6.5815	11.1236	14.2456	14.1778	9.11736	3.48223	1.758771	1.203136	1.135134	1.0248399	1.294067	1.795497	3.27195	5.5492	8.87413	12.2215	9.1864
PF3D7_0103200	19.7814	32.1302	64.1666	114.333	165.213	223.909	271.306	238.722	231.776	156.609	99.0804	37.718	21.5604	26.9132	77.4027	125.771	159.53	167.683	220.779	223.443	215.466	196.476	109.02	57.5726
PF3D7_0103300	29.5456	36.9475	41.6234	42.8942	34.6366	28.0715	20.3081	18.0747	17.5729	17.9398	16.2561	21.3309	25.9671	38.0892	48.8756	49.3419	34.3423	30.5395	20.4128	18.1097	16.4811	14.1223	19.6908	18.2649
PF3D7_0103400	88.5422	17.922	6.76942	7.19516	12.237	28.7602	50.0103	48.7301	44.7376	27.2624	23.5562	65.4828	75.7271	25.6007	6.13496	6.26903	10.79996	19.7097	30.7778	32.8075	32.0918	25.3336	26.1128	25.6341
PF3D7_0103500	3.9679	2.05588	1.497804	1.402995	1.449976	2.20128	5.60079	8.95823	9.09673	8.07621	4.0636	6.28648	4.40528	1.932621	1.400709	1.525428	1.531996	2.32667	4.27945	6.4538	7.39753	7.40737	5.48808	4.47133
PF3D7_0103600	3.12593	2.5661	3.42815	5.97775	6.63238	11.335	11.1898	16.3889	12.6068	12.4344	9.14519	5.36404	3.33484	2.26926	3.93496	5.12414	6.78421	9.06218	14.1048	11.2048	13.318	6.51695	7.00305	4.42644
PF3D7_0103700	2.92879	4.27232	9.31066	10.87545	8.81364	7.65447	7.09797	8.13651	8.00279	6.3164	4.2491	3.19564	4.03877	4.30711	8.58809	10.40359	5.9896	7.34448	6.81401	4.04245	6.28462	4.44037	3.47156	2.06906
PF3D7_0103800	10.17532	3.38179	2.25646	1.865668	1.288442	1.105279	1.206031	1.489665	5.03375	11.398	17.4895	15.422	5.45045	2.14651	1.214051	1.144938	1.248659	1.163541	1.0560795	1.739158	3.85309	15.7627	30.9307	38.7056
PF3D7_0103900	3.74619	2.90402	3.66683	5.74163	8.10963	9.75798	21.2498	27.2034	33.5367	35.6544	25.8221	11.545	5.05648	2.54545	4.0337	7.99612	5.82663	7.04655	16.8961	22.6877	30.7863	28.1674	27.413	15.5048
PF3D7_0104000	3.5625	1.419491	1.454878	1.3134	1	1	1.335654	1.75575	2.03373	2.95297	4.66079	3.10408	1.302101	1.23348	1	1	1	1.266433	1.365447	2.29683	3.14527	4.2648	5.51495	8.10149
PF3D7_0104100	6.10085	2.28037	1.78474	1.499076	1.311799	1.227608	1.200443	1.323162	4.89986	18.4545	26.5334	29.1782	5.73065	3.44773	1.393353	1.29246	1.268795	1.106071	1.0969932	1.368776	3.32496	14.6042	34.353	45.8584
PF3D7_0104200	2616.29	410.311	80.1301	29.7873	43.0325	129.142	182.15	133.025	123.563	113.486	171.037	1043.51	2020.35	791.056	98.1866	28.5167	59.5227	144.696	214.068	200.165	164.781	159.316	182.651	496.914
PF3D7_0104300	562.791	291.359	148.554	112.216	80.0243	70.461	49.8154	37.5231	32.8982	22.5814	21.0676	162.299	568.801	404.822	175.461	118.344	90.8958	71.8502	54.2301	40.8818	33.624	21.4019	23.6902	43.8733
PF3D7_0104400	18.5345	8.40578	5.66891	4.53844	7.12551	16.844	31.9377	34.8209	36.1958	35.8268	29.2252	34.4386	16.752	8.86037	3.5055	3.29435	9.56548	17.2987	26.3941	29.9413	34.9097	40.1845	52.6248	58.6319
PF3D7_0104500	5.29744	24.7913	55.3012	82.9914	85.6814	82.0355	80.2165	79.811	56.4531	27.1371	9.76577	3.56629	8.04687	21.183	69.4239	89.4144	71.7785	72.8975	65.9365	53.2809	50.714	33.3535	12.9772	5.33074
PF3D7_0104600	1.258086	2.66358	3.92063	4.55101	3.96392	4.53692	4.58765	4.22226	2.7848	2.00059	1.886512	1.754951	1.661777	2.25219	4.41121	5.26881	4.82504	4.56224	5.27876	4.51253	4.3355	3.21953	2.12546	2.19802
PF3D7_0104800	37.6064	7.796	4.38474	2.68258	1.840958	2.06622	16.9656	38.6641	59.9763	58.6002	63.4712	79.5795	55.69	13.2712	3.33205	1.830312	1.381564	1.652475	8.53826	24.4174	42.0523	55.4497	47.0983	43.4966
PF3D7_0104900	1617.12	2486.29	3398.4	3333.64	4102.58	2419.3	2148.26	1897.17	2137.51	1861.38	2482.91	4903.1	5042.66	3411.5	2756.77	2683.03	389.403	464.674	245.875	232.857	289.553	303.208	396.294	313.783
PF3D7_0105000	91.5254	35.5259	35.8742	49.4082	60.3384	25.3653	25.5983	39.8167	36.2975	27.6141	28.435	59.1204	69.1211	43.1181	38.744	35.4312	20.1829	22.6282	17.893	11.8614	12.6904	15.2329	10.16273	10.07417
PF3D7_0105100	9.62939	4.44336	2.72331	2.58309	1.296712	2.51616	11.8088	28.147	55.6416	51.2907	41.2471	16.9427	5.57805	3.65362	1.880752	1.198791	1	1.336461	4.46125	14.8033	28.0913	32.0592	30.0784	12.6584
PF3D7_0105200	5.99582	4.57969	2.57012	2.38226	8.20895	26.3583	47.2791	57.5689	45.2904	30.1952	20.0986	20.3336	7.02489	3.05954	1.9362	2.1169	6.74857	15.9699	29.347	33.4709	31.7509	24.7488	14.5353	12.8023
