time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60
PF3D7_0105000	323.333	244.51	240.148	195.629	141.526	173.961	171.474	136.064	120.663	101.734	113.367	84.9156	891.599	404.709	192.177	214.629	168.702	148.29	145.606	133.075	128.735
PF3D7_0105100	3.42443	2.0125	2.20639	2.26832	4.12633	19.9761	43.6443	65.5447	67.9312	37.917	22.3933	15.8812	6.63155	13.9653	3.47244	2.55506	5.10875	11.2242	34.0349	43.2101	52.5461
PF3D7_0105200	3.31592	4.19069	20.8448	52.4219	66.0997	72.9426	65.5583	51.1424	30.8709	28.8268	36.8523	33.3839	24.1356	14.317	7.78113	23.5153	49.9624	62.6225	64.6711	54.445	38.7416
PF3D7_0105300	5.38365	3.03735	2.35592	1.870298	1.699333	3.91885	12.6612	40.1896	84.5287	263.705	378.118	298.018	166.398	94.0872	8.64027	4.12514	3.99537	5.63715	14.182	24.2764	69.0754
PF3D7_0105400	2.65672	2.31563	1.276543	1	2.08319	2.03441	2.35348	1.938315	5.57232	128.914	251.73	265.042	164.647	72.4834	6.21136	2.34743	1.406678	2.3393	1.454168	2.08867	14.0809
PF3D7_0105500	2.08902	1.84387	1.99459	4.10948	10.78306	16.897	22.9149	22.3937	16.835	9.73453	4.87065	5.11632	3.55825	4.16766	2.78318	3.43752	6.29451	12.2749	17.3158	20.9236	17.0594
PF3D7_0105600	33.6733	38.4925	36.1659	30.5237	24.2344	25.8986	25.0984	21.114	15.4256	8.86752	9.09761	7.00877	7.21928	8.08238	25.8225	30.1806	27.5691	24.4861	22.5671	21.0091	17.8175
PF3D7_0105700	2.75831	2.25029	1.837725	1.894492	3.51629	11.0953	20.3596	24.932	21.9111	18.1047	15.5027	13.0828	10.90462	9.73627	3.69748	2.33241	4.77113	9.35328	16.1278	20.2233	20.4041
PF3D7_0105800	4.33681	2.98831	2.00656	1.997294	4.7444	19.1373	43.7946	59.7809	82.7348	143.978	170.906	138	83.0403	39.9559	4.87059	3.67393	6.54575	15.094	34.8746	50.2411	68.2242
PF3D7_0105900	1.609059	1.61381	1.289018	1.859919	3.96081	13.7712	19.5659	21.4323	16.8679	25.645	32.6079	23.9372	15.4841	11.1198	2.14347	1.938226	3.93926	9.5455	17.3079	19.731	19.6114
