time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63
PF3D7_0104300	16.6636	41.4701	243.91	324.227	205.684	162.128	119.154	99.1645	77.6668	67.1475	58.9552	55.0813	45.255	38.2764	27.9661	24.039	23.3451	18.6091	76.4373	186.952	185.559	42.3223
PF3D7_0104400	24.4807	22.142	19.8538	20.0558	15.3243	14.7445	9.43549	7.5919	7.99383	8.74262	11.0213	11.5874	16.8284	22.2465	34.1985	31.9703	42.5997	33.4486	37.4194	32.1773	30.7504	19.0584
PF3D7_0104500	17.4232	13.5835	11.103	19.9051	48.5623	69.2645	69.6046	71.2224	60.5476	53.3341	50.2148	55.2051	46.1064	48.1187	53.834	44.3019	29.0409	12.7356	8.76734	10.08252	13.7372	9.94108
PF3D7_0104600	3.47175	3.43369	2.52804	3.14545	3.07144	3.49366	4.14576	4.33522	4.45816	3.20881	4.04076	3.72355	8.07246	6.93303	5.16998	4.32067	2.13696	2.12462	1.545875	1.305558	2.47037	1.410181
PF3D7_0104800	17.856	13.1044	9.10321	2.78348	1.920651	1.7883	1.763678	1.708883	1.51573	2.27732	3.88884	2.59467	2.10235	4.43535	18.8667	25.3397	31.5672	34.1782	53.8196	56.6272	40.2918	41.9173
PF3D7_0104900	289.528	474.47	599.23	562.242	354.657	446.794	269.228	217.611	228.521	311.714	236.785	283.078	245.058	415.582	659.677	344.58	569.888	550.577	2087.36	4178.62	413.113	3874.39
PF3D7_0105000	11.774	18.9583	15.6805	14.538	14.4692	10.96023	13.0499	10.05107	8.54518	21.0677	11.9502	10.54417	13.4191	24.0857	40.7571	20.5381	26.6621	12.7858	45.8119	47.4362	5.48539	10.79565
PF3D7_0105100	13.6162	8.08585	5.69807	3.33286	1.685752	1.587169	2.39622	1.475213	1.96036	1	2.29106	1.791866	1.869394	4.83826	12.5166	14.6776	19.0806	16.8012	19.7082	7.5015	6.74169	10.60039
PF3D7_0105200	15.4933	12.5582	8.62452	5.20667	3.65536	3.98693	3.22618	3.54971	4.55828	6.52612	8.42534	9.327	16.7432	24.375	43.6709	30.224	19.5853	12.6326	12.5713	19.8989	10.53618	14.3287
PF3D7_0105300	104.734	153.543	50.3418	27.3678	10.87725	7.81283	6.02762	4.42237	2.99804	4.85419	13.9138	5.27713	4.65235	4.23301	5.66921	20.4431	29.936	180.097	210.583	116.941	160.802	183.178
PF3D7_0105400	44.1258	112.278	33.584	11.035	3.36774	1.916872	1.96899	1.989404	1.884252	4.07969	7.76451	3.76293	1.750465	4.15455	3.23793	3.4029	4.86094	151.026	555.712	420.96	93.6156	82.1758
PF3D7_0105500	6.77417	5.95871	3.49961	3.08201	1.847405	2.12868	2.46974	2.00048	1.632932	3.20443	3.21584	2.08726	4.16333	7.10217	16.5175	13.9912	17.9321	6.43763	12.2772	14.0076	5.13886	9.28562
PF3D7_0105600	9.96984	8.63589	7.56514	11.4894	25.1486	30.6931	37.8183	39.917	40.8627	46.8569	31.2353	33.2075	27.0704	19.8242	17.8634	19.0524	14.963	9.01024	7.24133	6.68021	8.39815	8.12498
PF3D7_0105700	15.2931	14.9206	12.7973	9.12424	7.68769	8.19513	6.88035	5.61031	4.25851	4.20763	4.492	3.70993	4.33957	5.94066	8.75279	12.884	13.5276	13.3234	8.18485	8.7605	12.6292	12.9123
